2023-11-05 15:02:21,456 - Key.cmd
2023-11-05 15:02:21,720 - 'w'
2023-11-05 15:02:28,403 - Key.shift
2023-11-05 15:02:28,618 - 'T'
2023-11-05 15:02:28,724 - 'H'
2023-11-05 15:02:28,893 - 'I'
2023-11-05 15:02:28,973 - 'S'
2023-11-05 15:02:29,152 - Key.space
2023-11-05 15:02:29,321 - 'I'
2023-11-05 15:02:29,397 - 'S'
2023-11-05 15:02:29,510 - Key.space
2023-11-05 15:02:29,638 - 'M'
2023-11-05 15:02:29,737 - 'Y'
2023-11-05 15:02:29,836 - Key.space
2023-11-05 15:02:30,057 - 'P'
2023-11-05 15:02:30,169 - 'A'
2023-11-05 15:02:30,292 - 'S'
2023-11-05 15:02:30,424 - 'S'
2023-11-05 15:02:30,569 - 'W'
2023-11-05 15:02:30,689 - 'O'
2023-11-05 15:02:30,780 - 'R'
2023-11-05 15:02:30,921 - 'D'
2023-11-05 15:02:32,191 - Key.esc
